song_title,artist_name,lyrics_url
Blue Eyes,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-blue-eyes-lyrics
Desi Kalakaar,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-desi-kalakaar-lyrics
Lungi Dance,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-lungi-dance-lyrics
Love Dose,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-love-dose-lyrics
Angreji Beat,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-and-gippy-grewal-angreji-beat-lyrics
High Heels,Yo Yo Honey Singh,https://genius.com/Jaz-dhamiyo-yo-honey-singh-high-heels-lyrics
Sunny Sunny,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-funk-love-lyrics
Chaar Botal Vodka,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-chaar-botal-vodka-lyrics
Dheere Dheere,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-dheere-dheere-se-meri-zindagi-lyrics
Manali Trance,Yo Yo Honey Singh,https://genius.com/Marc-dorsey-clockers-lyrics
Dope Shope,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-dope-shope-lyrics
Party All Night,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-party-all-night-lyrics
Yaar Naa Miley,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-one-thousand-miles-lyrics
One Bottle Down,Yo Yo Honey Singh,https://genius.com/Aaliyah-got-to-give-it-up-lyrics
Millionaire,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-millionaire-lyrics
Achko Machko,Yo Yo Honey Singh,
Raat Jashan Di,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-naagan-lyrics
Gabru,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singhj-star-gabru-lyrics
Dil Chori,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-dil-chori-lyrics
Urvashi,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-urvashi-lyrics
Superstar,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-yaar-tera-superstar-desi-kalakaar-lyrics
Aao Raja,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-lets-get-it-party-lyrics
Paani Wala Dance,Yo Yo Honey Singh,
Birthday Bash,Yo Yo Honey Singh,https://genius.com/Marc-dorsey-clockers-lyrics
Issey Kehte Hain Hip Hop,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-issey-kehte-hain-hip-hop-lyrics
Gal Ban Gayi,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-gal-ban-gayi-lyrics
Billionaire,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-billionaire-lyrics
Saiyaan Ji,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-saiyaan-ji-lyrics
Hauli Hauli,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-apache-indian-rony-ajnali-and-gill-machhrai-kuley-kuley-lyrics
Loca,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-loca-lyrics
Makhna,Yo Yo Honey Singh,https://genius.com/Sm1t-music-behraupiye-lyrics
First Kiss,Yo Yo Honey Singh,https://genius.com/Yasiin-bey-brown-sugar-raw-lyrics
Care Ni Karda,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-millionaire-lyrics
Moscow Mashuka,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-neha-kakkar-and-ekaterina-sizova-moscow-suka-lyrics
Chamak Challo,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-peeyu-datt-ke-lyrics
Haye Mera Dil,Yo Yo Honey Singh,https://genius.com/Jaz-dhamiyo-yo-honey-singh-high-heels-lyrics
Lak 28 Kudi Da,Yo Yo Honey Singh,https://genius.com/Diljit-dosanjh-lak-28-kudi-da-lyrics
Bring Me Back,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-together-forever-lyrics
Call Aundi,Yo Yo Honey Singh,https://genius.com/Diljit-dosanjh-panga-lyrics
Angoor,Yo Yo Honey Singh,https://genius.com/Prufrock-shadowrunner-i-dont-wanna-leave-you-lyrics
Brown Boys,Yo Yo Honey Singh,https://genius.com/Jaz-dhamiyo-yo-honey-singh-high-heels-lyrics
Kudi Tu Butter,Yo Yo Honey Singh,https://genius.com/Diljit-dosanjh-lak-28-kudi-da-lyrics
This Party Gettin Hot,Yo Yo Honey Singh,https://genius.com/Tarkan-why-dont-we-aman-aman-lyrics
Chad Gayi,Yo Yo Honey Singh,https://genius.com/Leo-grewal-x-yo-yo-honey-singh-sports-gaddiyan-lyrics
Ashq,Yo Yo Honey Singh,https://genius.com/J-rawls-nommo-lyrics
Glassiyan,Yo Yo Honey Singh,
Bebo,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-bebo-tere-lyrics
International Villager,Yo Yo Honey Singh,https://genius.com/Platanopeddler-my-rap-cd-collection-lyrics
Aata Majhi Satakli,Yo Yo Honey Singh,
Lakhan De Pair,Yo Yo Honey Singh,https://genius.com/Yo-yo-honey-singh-millionaire-lyrics
