song_title,artist_name,lyrics
Blue Eyes,Yo Yo Honey Singh,"[Chorus]
Blue Eyes hypnotise teri kardi ai mainu
I swear choti dress mein bomb lagdi mainu
Glossy Lips, uff, yeh tricks, baby lagdi ai killer
Oh, yeah, oh, yeah katal kare tera bomb figure
Blue Eyes hypnotise teri kardi ai mainu
I swear choti dress mein bomb lagdi mainu
(Bomb lagdi mainu, bomb lagdi mainu, mainu)
[Verse 1]
Meri aankhon mein dekha kar jab mein baat karta hu
Main wo londa nhi jo tere sath padta hu
White Ginni laya hu, tujhe pic karlu
Dekh lunga aashiq or teri teacher nu
Leke chalu ride pe fir chath kholke
Seedhi baat karu, na karu tolmol ke
Tonight, I gotta hold you tight
Aaj hogi late phone karke ghar pe bolde
[Chorus]
Blue Eyes hypnotise teri kardi ai mainu
I swear choti dress mein bomb lagdi mainu
Glossy Lips, uff, yeh tricks, baby lagdi ai killer
Oh, yeah, oh, yeah katal kare tera bomb figure
[Verse 2]
Ghar pe chalna hai ya pehle jayegi club?
Nahi, mera matlab, ghar ke club?
Tab lunga left, nahin toh right
Club mien hoga shor, baby, ghar pe pillow fight
You decide ke kya karna hai
Tujko to zara sa bhi darna hai
Champagne ger di hai tune meri pant pe
Kehti hai change karlo hotel lekar rent pe
[Chorus]
Blue Eyes hypnotise teri kardi ai mainu
I swear choti dress mein bomb lagdi mainu
Glossy Lips, uff, yeh tricks, baby lagdi ai killer
Oh, yeah, oh, yeah katal kare tera bomb figure
[Verse 3]
Suna tere college mein mere gaane ban hai
Padne-likhne ka tera na koi plan hai
Pass kradu, phone Ghumadu
Teri Principal bhi baby Yo Yo ki fan hai
Teri Principal bhi baby Yo Yo ki fan hai
Kehndi Yo Yo Honey singh
[Chorus]
Blue Eyes hypnotise teri kardi ai mainu
I swear choti dress mein bomb lagdi mainu
Glossy Lips, uff, yeh tricks, baby lagdi ai killer
Oh, yeah, oh, yeah katal kare tera bomb figure
Blue Eyes hypnotise teri kardi ai mainu
I swear choti dress mein bomb lagdi mainu
(Bomb lagdi mainu, bomb lagdi mainu, mainu)"
Desi Kalakaar,Yo Yo Honey Singh,"[Chorus]
Yaar tera superstar desi kalakaar
Main putt jatt da manda ni haar
Yaar tera superstar desi kalakaar
Main putt jatt da manda ni haar
[Post-Chorus]
Duniya ki sochugi saade baare
Eh gal billo chhad de, chhad de, chhad de
Apne tu mummy-daddy da vi darr
Dil ton hun kad de, kad de
""Duniya ki sochugi saade baare?""
Eh gal billo chhad de, chhad de, chhad de
Apne tu mummy-daddy da vi darr
Dil ton hun kad de, kad de
[Pre-Chorus]
Tu meri heer, maine dil se maana tujhe
Har veervar Peer baba se bhi manga tujhe
[Chorus]
Yaar tera superstar, desi kalakaar
Main putt jatt da manda ni haar
Yaar tera superstar, desi kalakaar
Main putt jatt da manda ni haar
Kad ke vi le jaavan tu keh tan ik vaar
Ho main putt jatt da hun piche naiyo hatda
[Post-Chorus]
Duniya ki sochugi saade baare
Eh gal billo chhad de, chhad de, chhad de
Apne tu mummy-daddy da vi darr
Dil ton hun kad de, kad de
